"   ncalls","  tottime","  percall","  cumtime","  percall"," filename:lineno(function)"
      2/1,"    0.016","    0.008","   41.839","   41.839", {built-in method builtins.exec}
"      970","    0.004","    0.000","   30.616","    0.032", index.py:65(gen)
"      970","    0.007","    0.000","   29.946","    0.031"," helpers.py:221(get_frames)"
"      970","    0.080","    0.000","   26.024","    0.027"," helpers.py:126(_camera_read)"
"     1940","    9.187","    0.005","    9.450","    0.005"," {filter2D}"
"      969","    8.772","    0.009","    9.178","    0.009"," {built-in method msleep}"
"     1940","    8.431","    0.004","    8.687","    0.004"," {undistort}"
"      117","    0.001","    0.000","    4.731","    0.040"," _differentiable_functions.py:413(__call__)"
"      117","    0.001","    0.000","    4.286","    0.037"," least_squares.py:262(__call__)"
"       96","    0.004","    0.000","    4.199","    0.044"," _numdiff.py:871(__call__)"
"      117","    0.001","    0.000","    3.683","    0.031"," helpers.py:443(residual_function)"
"       12","    0.000","    0.000","    3.593","    0.299"," _differentiable_functions.py:739(jac)"
"        1","    0.000","    0.000","    3.395","    3.395"," helpers.py:422(bundle_adjustment)"
"        1","    0.003","    0.003","    3.388","    3.388"," _util.py:677(inner)"
"        1","    0.001","    0.001","    3.385","    3.385"," trf.py:113(trf)"
"        1","    0.000","    0.000","    3.385","    3.385"," least_squares.py:266(least_squares)"
"        1","    0.000","    0.000","    3.318","    3.318"," trf.py:415(trf_no_bounds)"
"     1940","    2.990","    0.002","    3.080","    0.002"," {method 'read' of 'cv2.VideoCapture' objects}"
"    10663","    0.470","    0.000","    2.756","    0.000"," helpers.py:298(calculate_reprojection_error)"
"       11","    0.000","    0.000","    2.736","    0.249"," _differentiable_functions.py:438(__call__)"
"       12","    0.000","    0.000","    2.736","    0.228"," _differentiable_functions.py:702(_update_jac)"
"     1940","    2.593","    0.001","    2.666","    0.001"," {GaussianBlur}"
"       12","    0.000","    0.000","    2.622","    0.219"," _numdiff.py:278(approx_derivative)"
"      515","    0.031","    0.000","    2.017","    0.004"," helpers.py:287(calculate_reprojection_errors)"
"       21","    0.000","    0.000","    1.895","    0.090"," _differentiable_functions.py:732(fun)"
"     1084","    0.019","    0.000","    1.889","    0.002"," helpers.py:513(triangulate_points)"
"    11576","    0.300","    0.000","    1.864","    0.000"," helpers.py:476(triangulate_point)"
"      969","    0.025","    0.000","    1.624","    0.002"," index.py:55(cvimage_to_label)"
"      969","    0.005","    0.000","    1.527","    0.002"," convenience.py:65(resize)"
"      969","    1.424","    0.001","    1.519","    0.002"," {resize}"
"       33","    0.001","    0.000","    1.451","    0.044"," _differentiable_functions.py:696(_update_fun)"
"       12","    0.000","    0.000","    1.447","    0.121"," _numdiff.py:663(_dense_difference)"
"     2028","    0.107","    0.000","    1.046","    0.001"," viewer3d.py:255(paintGL)"
"    22912","    0.004","    0.000","    0.927","    0.000"," Singleton.py:21(instance)"
"        1","    0.248","    0.248","    0.923","    0.923"," helpers.py:57(configure)"
"        1","    0.000","    0.000","    0.923","    0.923"," helpers.py:21(__init__)"
"    11011","    0.258","    0.000","    0.813","    0.000"," helpers.py:495(DLT)"
"      665","    0.070","    0.000","    0.631","    0.001"," helpers.py:522(find_point_correspondance_and_object_points)"
"    44478","    0.386","    0.000","    0.589","    0.000"," _function_base_impl.py:5289(delete)"
"      976","    0.446","    0.000","    0.557","    0.001"," shape_base.py:295(hstack)"
"     4413","    0.523","    0.000","    0.553","    0.000"," {cvtColor}"
"     1940","    0.281","    0.000","    0.545","    0.000"," helpers.py:690(make_square)"
"     1504","    0.016","    0.000","    0.533","    0.000"," helpers.py:227(_find_dot)"
"    11022","    0.058","    0.000","    0.515","    0.000"," _util.py:1196(wrapper)"
"     2028","    0.005","    0.000","    0.504","    0.000"," matrix44.py:160(look_at)"
"     2028","    0.049","    0.000","    0.482","    0.000"," matrix44.py:454(create_look_at)"
"        2","    0.000","    0.000","    0.453","    0.227"," subprocess.py:506(run)"
"        2","    0.000","    0.000","    0.453","    0.227"," videoSubSystem.py:5(listWebcams)"
"        2","    0.000","    0.000","    0.453","    0.227"," videoSubSystem.py:72(get_id_from_name)"
"        2","    0.442","    0.221","    0.452","    0.226"," {method 'read' of '_io.BufferedReader' objects}"
"        2","    0.000","    0.000","    0.452","    0.226"," subprocess.py:1165(communicate)"
"    11022","    0.193","    0.000","    0.448","    0.000"," _decomp_svd.py:16(svd)"
"    23352","    0.272","    0.000","    0.389","    0.000"," _index_tricks_impl.py:344(__getitem__)"
"        1","    0.000","    0.000","    0.331","    0.331"," app.py:22(__init__)"
"        1","    0.001","    0.001","    0.330","    0.330"," app.py:80(init_ui)"
"        1","    0.301","    0.301","    0.301","    0.301"," viewer3d.py:11(__init__)"
"     4202","    0.110","    0.000","    0.300","    0.000"," numeric.py:1556(cross)"
"    21326","    0.244","    0.000","    0.263","    0.000"," {projectPoints}"
"    45328","    0.042","    0.000","    0.259","    0.000"," fromnumeric.py:2589(all)"
"   267441","    0.257","    0.000","    0.257","    0.000"," {built-in method numpy.array}"
2906/2900,"    0.247","    0.000","    0.256","    0.000"," {built-in method numpy.zeros}"
"     1504","    0.229","    0.000","    0.238","    0.000"," {findContours}"
"    74497","    0.236","    0.000","    0.236","    0.000"," {method 'reduce' of 'numpy.ufunc' objects}"
"    45360","    0.076","    0.000","    0.218","    0.000"," fromnumeric.py:89(_wrapreduction_any_all)"
"       10","    0.211","    0.021","    0.216","    0.022"," {method 'set' of 'cv2.VideoCapture' objects}"
"    21340","    0.063","    0.000","    0.183","    0.000"," _shape_base_impl.py:518(expand_dims)"
"      681","    0.030","    0.000","    0.181","    0.000"," helpers.py:375(fundamental_from_projections)"
"    46552","    0.120","    0.000","    0.176","    0.000"," numeric.py:1420(normalize_axis_tuple)"
"    12606","    0.046","    0.000","    0.168","    0.000"," numeric.py:1482(moveaxis)"
"      969","    0.016","    0.000","    0.143","    0.000"," app.py:448(setImage)"
"     6084","    0.020","    0.000","    0.137","    0.000"," utils.py:16(wrapper)"
"     4056","    0.011","    0.000","    0.131","    0.000"," dispatcher.py:431(__call__)"
"    11022","    0.025","    0.000","    0.129","    0.000"," _util.py:403(_asarray_validated)"
"    10663","    0.008","    0.000","    0.129","    0.000"," {method 'mean' of 'numpy.ndarray' objects}"
"    43368","    0.093","    0.000","    0.126","    0.000"," numeric.py:171(ones)"
"    10664","    0.042","    0.000","    0.121","    0.000"," _methods.py:117(_mean)"
"     6084","    0.047","    0.000","    0.114","    0.000"," vector.py:9(normalize)"
"        1","    0.104","    0.104","    0.107","    0.107"," {built-in method show}"
"   470573","    0.094","    0.000","    0.106","    0.000"," {built-in method builtins.isinstance}"
"    25444","    0.026","    0.000","    0.097","    0.000"," helpers.py:272(get_camera_params)"
"        1","    0.000","    0.000","    0.089","    0.089"," _differentiable_functions.py:533(__init__)"
"     2028","    0.008","    0.000","    0.087","    0.000"," matrix44.py:142(perspective_projection)"
"     1504","    0.082","    0.000","    0.086","    0.000"," {threshold}"
"      969","    0.082","    0.000","    0.082","    0.000"," {fromImage}"
"    11022","    0.027","    0.000","    0.078","    0.000"," _function_base_impl.py:598(asarray_chkfinite)"
"    10614","    0.036","    0.000","    0.072","    0.000"," shape_base.py:220(vstack)"
"     4056","    0.009","    0.000","    0.072","    0.000"," matrix44.py:224(__mul__)"
"     2028","    0.006","    0.000","    0.071","    0.000"," __init__.py:1750(clear)"
"    11022","    0.048","    0.000","    0.070","    0.000"," lapack.py:1025(_compute_lwork)"
"     6130","    0.035","    0.000","    0.069","    0.000"," _linalg.py:2379(det)"
"     6304","    0.014","    0.000","    0.069","    0.000"," fromnumeric.py:2338(sum)"
"    12168","    0.037","    0.000","    0.066","    0.000"," matrix44.py:172(__new__)"
"     2028","    0.065","    0.000","    0.065","    0.000"," {method 'clear' of 'mgl.Framebuffer' objects}"
"     7406","    0.018","    0.000","    0.065","    0.000"," fromnumeric.py:69(_wrapreduction)"
"      681","    0.026","    0.000","    0.062","    0.000"," helpers.py:680(drawlines)"
"     2028","    0.035","    0.000","    0.056","    0.000"," matrix44.py:238(create_perspective_projection)"
"    31646","    0.050","    0.000","    0.050","    0.000"," {built-in method builtins.hasattr}"
"     9591","    0.014","    0.000","    0.049","    0.000"," _moderngl.py:68(value)"
"      969","    0.005","    0.000","    0.048","    0.000"," app.py:458(setData)"
"    11055","    0.007","    0.000","    0.046","    0.000"," {method 'all' of 'numpy.ndarray' objects}"
"     4056","    0.005","    0.000","    0.045","    0.000"," dispatcher.py:304(dispatch)"
"    32032","    0.043","    0.000","    0.043","    0.000"," {method 'astype' of 'numpy.ndarray' objects}"
"   230124","    0.042","    0.000","    0.042","    0.000"," {method 'append' of 'list' objects}"
"      399","    0.007","    0.000","    0.041","    0.000"," viewer3d.py:201(add_point)"
"     2028","    0.017","    0.000","    0.039","    0.000"," dispatcher.py:334(dispatch_iter)"
"    11059","    0.005","    0.000","    0.039","    0.000"," _methods.py:66(_all)"
"    11619","    0.006","    0.000","    0.036","    0.000"," _moderngl.py:94(write)"
"     1940","    0.034","    0.000","    0.035","    0.000"," _function_base_impl.py:173(rot90)"
"     1781","    0.033","    0.000","    0.034","    0.000"," {built-in method builtins.print}"
"      146","    0.002","    0.000","    0.034","    0.000"," viewer3d.py:338(mouseMoveEvent)"
"    56938","    0.033","    0.000","    0.033","    0.000"," {method 'transpose' of 'numpy.ndarray' objects}"
"    10664","    0.030","    0.000","    0.033","    0.000"," _methods.py:75(_count_reduce_items)"
"    48719","    0.032","    0.000","    0.032","    0.000"," {built-in method numpy.empty}"
"    11775","    0.004","    0.000","    0.032","    0.000"," {built-in method builtins.any}"
"      146","    0.002","    0.000","    0.032","    0.000"," ArcBall.py:128(onDrag)"
"       20","    0.000","    0.000","    0.031","    0.002"," common.py:325(evaluate_quadratic)"
"    10627","    0.022","    0.000","    0.031","    0.000"," shape_base.py:80(atleast_2d)"
"    93104","    0.020","    0.000","    0.031","    0.000"," numeric.py:1469(<genexpr>)"
"     5535","    0.004","    0.000","    0.031","    0.000"," __init__.py:1360(render)"
"    11619","    0.030","    0.000","    0.030","    0.000"," {method '_write_uniform' of 'mgl.Context' objects}"
"     1938","    0.029","    0.000","    0.030","    0.000"," {method 'emit' of 'PyQt5.QtCore.pyqtBoundSignal' objects}"
"    32382","    0.029","    0.000","    0.029","    0.000"," {method 'reshape' of 'numpy.ndarray' objects}"
"     4056","    0.027","    0.000","    0.028","    0.000"," matrix44.py:223(multiply)"
"      752","    0.004","    0.000","    0.028","    0.000"," helpers.py:163(<genexpr>)"
"     5535","    0.027","    0.000","    0.027","    0.000"," {method 'render' of 'mgl.VertexArray' objects}"
"   114360","    0.026","    0.000","    0.026","    0.000"," {built-in method numpy.lib.array_utils.normalize_axis_index}"
"      681","    0.012","    0.000","    0.026","    0.000"," {line}"
"        3","    0.023","    0.008","    0.023","    0.008"," {built-in method addLayout}"
"    93784","    0.023","    0.000","    0.023","    0.000"," {built-in method numpy.asarray}"
"        1","    0.000","    0.000","    0.022","    0.022"," app.py:370(toggle_calculate_pose)"
"     2028","    0.008","    0.000","    0.022","    0.000"," matrix44.py:270(create_perspective_projection_from_bounds)"
"    11048","    0.003","    0.000","    0.022","    0.000"," _sparse.py:10(issparse)"
"        1","    0.000","    0.000","    0.021","    0.021"," index.py:161(calculate_camera_pose)"
"    11022","    0.013","    0.000","    0.020","    0.000"," blas.py:395(getter)"
"    11022","    0.019","    0.000","    0.019","    0.000"," getlimits.py:698(__init__)"
"      146","    0.002","    0.000","    0.018","    0.000"," ArcBall.py:47(drag)"
"    44478","    0.017","    0.000","    0.017","    0.000"," {method 'wrap' of 'numpy._core._multiarray_umath._array_converter' objects}"
"     1532","    0.016","    0.000","    0.017","    0.000"," {putText}"
"     6130","    0.009","    0.000","    0.017","    0.000"," _linalg.py:207(_commonType)"
"    44478","    0.016","    0.000","    0.016","    0.000"," {method 'as_arrays' of 'numpy._core._multiarray_umath._array_converter' objects}"
"    11590","    0.006","    0.000","    0.016","    0.000"," shape_base.py:216(_vhstack_dispatcher)"
"    59092","    0.015","    0.000","    0.015","    0.000"," {method 'items' of 'dict' objects}"
"    26179","    0.014","    0.000","    0.014","    0.000"," {built-in method builtins.max}"
"    21330","    0.014","    0.000","    0.014","    0.000"," {method 'flatten' of 'numpy.ndarray' objects}"
"      402","    0.001","    0.000","    0.014","    0.000"," __init__.py:1941(simple_vertex_array)"
"    12168","    0.013","    0.000","    0.013","    0.000"," base.py:19(__new__)"
"    11022","    0.013","    0.000","    0.013","    0.000"," lapack.py:1059(_check_work_float)"
"    24109","    0.013","    0.000","    0.013","    0.000"," {built-in method builtins.getattr}"
"      969","    0.013","    0.000","    0.013","    0.000"," {built-in method setPixmap}"
"     1532","    0.013","    0.000","    0.013","    0.000"," {moments}"
"    12289","    0.006","    0.000","    0.012","    0.000"," {built-in method builtins.all}"
"    11048","    0.004","    0.000","    0.011","    0.000"," <frozen abc>:117(__instancecheck__)"
"     6129","    0.010","    0.000","    0.010","    0.000"," {method 'astype' of 'numpy.generic' objects}"
"    22601","    0.010","    0.000","    0.010","    0.000"," {method 'get' of 'dict' objects}"
"    11650","    0.006","    0.000","    0.010","    0.000"," shape_base.py:208(_arrays_for_stack_dispatcher)"
" 1985/397","    0.004","    0.000","    0.010","    0.000"," copy.py:118(deepcopy)"
"      693","    0.002","    0.000","    0.010","    0.000"," fromnumeric.py:3328(prod)"
"    67827","    0.009","    0.000","    0.009","    0.000"," multiarray.py:188(concatenate)"
"    12608","    0.009","    0.000","    0.009","    0.000"," {built-in method builtins.sorted}"
"    57153","    0.009","    0.000","    0.009","    0.000"," {built-in method numpy.asanyarray}"
"    12168","    0.009","    0.000","    0.009","    0.000"," {method 'view' of 'numpy.ndarray' objects}"
"      402","    0.001","    0.000","    0.009","    0.000"," __init__.py:1790(buffer)"
"    40697","    0.008","    0.000","    0.008","    0.000"," {built-in method builtins.issubclass}"
"     1504","    0.008","    0.000","    0.008","    0.000"," {drawContours}"
"      402","    0.008","    0.000","    0.008","    0.000"," {method 'buffer' of 'mgl.Context' objects}"
"    11048","    0.007","    0.000","    0.008","    0.000"," {built-in method _abc._abc_instancecheck}"
"      402","    0.003","    0.000","    0.008","    0.000"," __init__.py:1903(_vertex_array)"
" 1191/397","    0.002","    0.000","    0.008","    0.000"," copy.py:191(_deepcopy_list)"
"    45328","    0.007","    0.000","    0.007","    0.000"," fromnumeric.py:2584(_all_dispatcher)"
"    46704","    0.007","    0.000","    0.007","    0.000"," fromnumeric.py:3523(ndim)"
"     9591","    0.007","    0.000","    0.007","    0.000"," {built-in method _struct.pack}"
"      968","    0.007","    0.000","    0.007","    0.000"," {built-in method setText}"
"      146","    0.005","    0.000","    0.007","    0.000"," ArcBall.py:180(Matrix3fSetRotationFromQuat4f)"
"    44478","    0.006","    0.000","    0.006","    0.000"," _function_base_impl.py:5285(_delete_dispatcher)"
"    46704","    0.006","    0.000","    0.006","    0.000"," fromnumeric.py:3519(_ndim_dispatcher)"
"     2029","    0.006","    0.000","    0.006","    0.000"," {built-in method width}"
"    10140","    0.003","    0.000","    0.006","    0.000"," variadic.py:32(isvariadic)"
2098/2046,"    0.002","    0.000","    0.006","    0.000"," <frozen abc>:121(__subclasscheck__)"
"    43395","    0.005","    0.000","    0.005","    0.000"," multiarray.py:1106(copyto)"
"    25474","    0.005","    0.000","    0.005","    0.000"," {built-in method _operator.index}"
"      402","    0.005","    0.000","    0.005","    0.000"," {method 'vertex_array' of 'mgl.Context' objects}"
"    12697","    0.004","    0.000","    0.005","    0.000"," _linalg.py:187(isComplexType)"
